id;nom;lieu;adresse_rue;code_postal;numero_tel;email;ville;region;heure_ouverture;heure_fermeture;latitude;longitude
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;Coy99@hotmail.com;Money Market Account;Albania web-readiness;2019-09-16T14:49:53;2019-09-16T09:13:35;61185;39986
2;Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Virgil.MacGyver30@hotmail.com;Intelligent;Monitored Bahamian Dollar Investment Account;2019-09-16T01:49:28;2019-09-16T20:59:44;17336;90932
3;Digitized invoice;convergence;Mayotte;Industrial;connect Markets Chief;Mona8@yahoo.com;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;2019-09-16T07:44:21;2019-09-16T13:15:32;96525;28093
4;Faroe Islands Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;Rossie.Mueller@hotmail.com;Fantastic Plastic Chicken;payment;2019-09-16T07:37:48;2019-09-16T06:31:11;27472;88721
5;Junction Frozen;synthesizing hard drive Robust;Avon;system Small;Intelligent Outdoors;Jarrell_Haley@yahoo.com;Corporate Phased relationships;white Brand Money Market Account;2019-09-16T05:08:47;2019-09-16T17:57:06;88046;92969
6;virtual deposit;Squares mint green e-business;Ghana back-end National;Direct;Profit-focused;Aaron_Schumm@yahoo.com;Games;Iraq Bedfordshire;2019-09-16T05:12:09;2019-09-16T18:56:39;26941;33761
7;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Weston.Kuvalis@yahoo.com;encompassing;deposit Canadian Dollar Lebanon;2019-09-16T11:04:27;2019-09-15T22:09:56;55289;24205
8;Bulgarian Lev navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Maurice_Bauch32@gmail.com;red firewall open-source;deposit Sausages;2019-09-16T05:14:19;2019-09-16T12:16:45;38673;51775
9;hacking Forint bandwidth;Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Stephan.Tillman@yahoo.com;even-keeled Saint Helena Pound;Internal AI optical;2019-09-16T06:24:44;2019-09-16T01:23:56;8413;93563
10;solid state;Home Loan Account Tools Unbranded;Supervisor clear-thinking;Latvia;Ports Manager Fish;Dave17@gmail.com;world-class program alarm;Nevada;2019-09-16T19:34:22;2019-09-16T09:36:34;36771;63633
